interval_start_timestamp,messages,messages_per_communicator
2026-04-25T00:00:00+00:00,508,5.08
2026-05-02T00:00:00+00:00,531,4.577586206896552
2026-05-09T00:00:00+00:00,349,3.034782608695652
2026-05-16T00:00:00+00:00,187,1.9893617021276595
2026-05-23T00:00:00+00:00,336,3.6923076923076925
2026-05-30T00:00:00+00:00,215,2.216494845360825
2026-06-06T00:00:00+00:00,285,2.85
2026-06-13T00:00:00+00:00,728,7.663157894736842
2026-06-20T00:00:00+00:00,740,6.666666666666667
2026-06-27T00:00:00+00:00,515,5.5978260869565215
2026-07-04T00:00:00+00:00,1978,17.504424778761063
2026-07-11T00:00:00+00:00,1108,11.663157894736843
2026-07-18T00:00:00+00:00,1415,13.737864077669903
2026-07-25T00:00:00+00:00,1391,13.91
2026-08-01T00:00:00+00:00,2031,18.63302752293578
2026-08-08T00:00:00+00:00,1727,15.558558558558559
2026-08-15T00:00:00+00:00,1730,14.913793103448276
